m_png_55_64_yrs, m_south_africa_25_44_yrs, m_italy_25_44_yrs, m_mauritius_0_4_yrs, m_philippines_25_44_yrs, m_south_africa_85_yrs_ov, m_myanmar_85_yrs_ov, m_png_85_yrs_ov, m_japan_65_74_yrs, m_korea_south_55_64_yrs, m_south_africa_tot, m_poland_0_4_yrs, m_nthern_ireland_65_74_yrs, m_singapore_75_84_yrs, m_mauritius_25_44_yrs, m_korea_south_45_54_yrs, m_italy_tot, m_lebanon_0_4_yrs, m_myanmar_55_64_yrs, m_nepal_55_64_yrs, m_ireland_25_44_yrs, m_nepal_0_4_yrs, m_south_africa_75_84_yrs, m_ireland_85_yrs_ov, m_new_zealand_65_74_yrs, m_new_zealand_45_54_yrs, m_png_tot, lga_code_2016, m_pakistan_0_4_yrs, m_scotland_15_24_yrs, m_scotland_85_yrs_ov, m_singapore_0_4_yrs, m_singapore_85_yrs_ov, m_malaysia_25_44_yrs, m_korea_south_0_4_yrs, m_lebanon_65_74_yrs, m_malaysia_15_24_yrs, m_singapore_45_54_yrs, m_japan_25_44_yrs, m_malta_0_4_yrs, m_netherlands_15_24_yrs, m_malaysia_65_74_yrs, m_philippines_75_84_yrs, m_pakistan_tot, m_mauritius_75_84_yrs, m_malaysia_55_64_yrs, m_new_zealand_0_4_yrs, m_nthern_ireland_15_24_yrs, m_nthern_ireland_5_14_yrs, m_mauritius_65_74_yrs, m_lebanon_15_24_yrs, m_scotland_65_74_yrs, m_new_zealand_85_yrs_ov, m_singapore_tot, m_singapore_55_64_yrs, m_malaysia_5_14_yrs, m_netherlands_75_84_yrs, m_nepal_5_14_yrs, m_mauritius_55_64_yrs, m_myanmar_tot, m_scotland_tot, m_japan_tot, m_nepal_75_84_yrs, m_netherlands_65_74_yrs, m_png_15_24_yrs, m_pakistan_65_74_yrs, m_poland_85_yrs_ov, m_japan_5_14_yrs, m_netherlands_45_54_yrs, m_poland_65_74_yrs, m_south_africa_5_14_yrs, m_lebanon_25_44_yrs, m_philippines_85_yrs_ov, m_malta_55_64_yrs, m_japan_55_64_yrs, m_italy_0_4_yrs, m_nthern_ireland_45_54_yrs, m_poland_tot, m_new_zealand_15_24_yrs, m_philippines_0_4_yrs, m_philippines_65_74_yrs, m_new_zealand_75_84_yrs, m_myanmar_45_54_yrs, m_new_zealand_tot, m_south_africa_15_24_yrs, m_japan_45_54_yrs, m_pakistan_25_44_yrs, m_lebanon_85_yrs_ov, m_pakistan_75_84_yrs, m_ireland_45_54_yrs, m_korea_south_tot, m_mauritius_5_14_yrs, m_png_5_14_yrs, m_south_africa_0_4_yrs, m_nepal_25_44_yrs, m_mauritius_tot, m_myanmar_65_74_yrs, m_poland_15_24_yrs, m_ireland_5_14_yrs, m_scotland_25_44_yrs, m_png_75_84_yrs, m_italy_65_74_yrs, m_malta_25_44_yrs, m_malaysia_tot, m_lebanon_tot, m_philippines_55_64_yrs, m_netherlands_85_yrs_ov, m_mauritius_85_yrs_ov, m_philippines_15_24_yrs, m_korea_south_85_yrs_ov, m_poland_55_64_yrs, m_singapore_65_74_yrs, m_poland_5_14_yrs, m_netherlands_tot, m_pakistan_15_24_yrs, m_philippines_45_54_yrs, m_japan_15_24_yrs, m_malaysia_0_4_yrs, m_nepal_65_74_yrs, m_lebanon_55_64_yrs, m_new_zealand_55_64_yrs, m_korea_south_65_74_yrs, m_mauritius_45_54_yrs, m_png_65_74_yrs, m_scotland_45_54_yrs, m_korea_south_5_14_yrs, m_italy_85_yrs_ov, m_italy_45_54_yrs, m_nthern_ireland_25_44_yrs, m_png_0_4_yrs, m_lebanon_75_84_yrs, m_italy_5_14_yrs, m_lebanon_45_54_yrs, m_ireland_tot, m_italy_15_24_yrs, m_lebanon_5_14_yrs, m_nepal_15_24_yrs, m_malaysia_45_54_yrs, m_ireland_75_84_yrs, m_nepal_85_yrs_ov, m_mauritius_15_24_yrs, m_italy_55_64_yrs, m_korea_south_75_84_yrs, m_ireland_0_4_yrs, m_netherlands_25_44_yrs, m_myanmar_5_14_yrs, m_nthern_ireland_0_4_yrs, m_poland_75_84_yrs, m_nthern_ireland_85_yrs_ov, m_south_africa_65_74_yrs, m_japan_75_84_yrs, m_netherlands_5_14_yrs, m_nepal_45_54_yrs, m_malta_75_84_yrs, m_scotland_55_64_yrs, m_malta_15_24_yrs, m_netherlands_55_64_yrs, m_malaysia_75_84_yrs, m_scotland_5_14_yrs, m_pakistan_5_14_yrs, m_nepal_tot, m_italy_75_84_yrs, m_scotland_0_4_yrs, m_ireland_55_64_yrs, m_malta_5_14_yrs, m_korea_south_25_44_yrs, m_philippines_5_14_yrs, m_singapore_25_44_yrs, m_nthern_ireland_55_64_yrs, m_pakistan_85_yrs_ov, m_malta_45_54_yrs, m_ireland_15_24_yrs, m_japan_0_4_yrs, m_singapore_5_14_yrs, m_south_africa_45_54_yrs, lga_name_2016, m_malta_65_74_yrs, m_singapore_15_24_yrs, m_myanmar_0_4_yrs, m_south_africa_55_64_yrs, m_malaysia_85_yrs_ov, m_netherlands_0_4_yrs, m_korea_south_15_24_yrs, m_poland_45_54_yrs, m_new_zealand_5_14_yrs, m_pakistan_45_54_yrs, m_png_45_54_yrs, m_poland_25_44_yrs, m_myanmar_15_24_yrs, m_new_zealand_25_44_yrs, m_nthern_ireland_75_84_yrs, m_pakistan_55_64_yrs, m_philippines_tot, m_nthern_ireland_tot, m_scotland_75_84_yrs, m_malta_tot, m_japan_85_yrs_ov, m_ireland_65_74_yrs, m_png_25_44_yrs, m_myanmar_75_84_yrs, m_myanmar_25_44_yrs, m_malta_85_yrs_ov
0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,"13850",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,17,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hay (A)",0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0
5,119,25,0,642,5,0,0,7,15,339,3,47,3,28,32,505,0,6,18,77,6,12,8,99,309,38,"16350",12,11,15,8,0,48,3,53,14,5,3,0,4,19,26,358,5,31,29,0,0,25,19,118,10,60,10,6,47,9,27,38,496,19,3,86,4,16,8,0,25,27,11,123,0,180,0,3,29,150,295,14,106,17,6,1977,28,0,159,0,0,34,152,0,0,3,99,122,3,6,19,62,0,159,33,153,398,267,18,0,148,0,33,5,0,273,48,290,3,4,0,73,257,8,26,0,109,12,37,47,22,0,18,4,94,318,3,4,26,29,27,0,3,114,4,0,21,0,0,21,0,38,0,3,9,112,133,11,79,8,3,35,172,112,0,58,3,66,111,21,38,0,56,3,0,3,57,"Penrith (C)",267,3,0,62,0,0,14,12,169,50,10,37,3,803,16,38,1598,159,50,680,0,86,21,3,12,13
0,36,5,0,20,5,0,0,0,0,127,0,10,0,0,3,77,0,0,0,34,0,10,5,110,85,20,"16380",0,0,8,0,0,9,0,3,0,0,3,0,0,0,0,9,5,11,0,0,4,0,0,70,10,7,0,0,37,3,0,3,191,15,0,52,0,0,4,3,6,0,5,3,0,5,0,0,7,17,15,0,3,62,0,520,12,0,6,0,0,7,19,0,0,0,6,3,0,0,3,13,0,26,0,30,10,13,14,0,9,0,4,4,3,141,0,7,3,0,0,0,84,0,0,0,19,0,3,3,7,0,0,0,3,97,0,0,0,6,10,0,0,17,0,0,9,0,0,3,0,18,0,0,0,11,30,0,19,0,9,0,15,24,0,8,0,13,5,0,3,0,0,3,0,3,21,"Port Macquarie-Hastings (A)",17,0,0,21,0,0,3,3,18,0,11,0,0,122,12,0,59,45,47,34,0,27,11,0,0,0
3,30,4,0,25,0,0,0,0,0,144,0,5,0,6,6,80,0,0,0,17,0,12,0,79,91,18,"16400",0,9,6,0,0,28,3,0,0,0,3,0,0,3,0,15,3,10,3,0,0,0,0,65,6,8,0,4,27,3,6,3,195,6,0,45,0,0,3,4,12,8,22,0,0,12,0,0,4,26,15,0,3,22,0,433,11,0,13,0,0,15,24,0,0,0,6,29,0,0,3,11,0,32,3,57,4,0,8,0,6,0,9,0,0,116,0,6,0,0,0,3,89,0,9,3,24,0,3,8,3,0,0,0,0,56,3,0,0,15,9,0,0,12,0,0,6,0,0,3,5,25,0,0,0,4,31,0,8,0,3,0,6,19,0,5,0,14,20,3,7,0,4,0,0,0,21,"Port Stephens (A)",15,0,0,17,0,0,6,0,17,0,4,3,0,105,3,0,68,26,45,39,0,7,5,0,0,0
5,34,12,0,72,0,0,0,0,4,101,0,3,0,0,3,211,0,0,0,27,0,3,0,37,88,33,"16490",0,0,0,0,0,18,0,3,4,6,3,0,0,3,3,63,0,14,6,0,0,0,0,24,0,21,0,0,8,0,3,7,106,8,0,22,0,0,0,0,3,8,11,4,0,10,0,0,4,37,48,0,0,6,3,424,13,3,52,0,0,5,18,0,0,5,53,5,0,0,4,7,0,50,0,53,10,9,4,0,31,0,6,3,0,54,7,25,0,0,0,0,81,0,3,0,28,0,19,11,3,0,0,0,3,63,0,0,0,14,0,0,0,44,0,3,10,0,0,4,0,10,0,3,3,11,33,0,8,0,0,0,61,64,0,8,0,9,33,10,9,0,0,0,0,0,25,"Queanbeyan-Palerang Regional (A)",24,0,0,12,0,0,3,0,29,3,20,13,0,136,0,4,167,21,12,44,0,11,13,0,4,3
8,308,180,0,232,19,0,0,3,18,877,0,19,6,23,23,579,0,3,0,1154,4,46,13,93,288,59,"16550",3,12,11,5,5,252,4,27,333,27,53,0,7,79,7,150,3,102,14,10,0,10,5,61,5,346,21,8,10,0,14,59,428,136,0,19,0,3,21,13,24,33,30,34,3,13,16,3,21,228,103,0,14,41,7,1384,103,28,89,6,0,122,259,0,0,0,55,67,0,0,16,173,4,105,3,906,179,35,4,0,77,0,52,11,4,143,44,54,21,0,0,32,205,8,10,4,66,16,51,41,61,0,18,14,46,1453,29,4,12,87,14,0,0,44,9,4,60,0,0,14,3,52,5,7,0,25,75,0,18,40,17,0,76,107,0,45,0,126,16,130,5,0,3,48,0,20,231,"Randwick (C)",48,121,0,91,6,3,57,23,42,4,29,80,34,584,11,8,433,133,18,113,0,44,18,3,13,16
4,3,0,0,7,0,0,0,0,0,16,0,0,0,0,0,19,0,0,0,4,0,0,0,18,14,3,"16610",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,3,0,0,10,0,0,3,20,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,3,92,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,3,0,0,0,0,32,0,3,0,0,0,0,30,0,0,0,4,0,3,0,0,0,0,0,0,16,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,3,0,0,0,0,3,0,8,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,3,"Richmond Valley (A)",7,0,0,3,0,0,0,0,4,0,0,0,0,17,0,0,13,4,8,6,0,4,0,0,0,0
8,51,76,0,422,0,0,0,6,12,133,0,4,4,20,24,574,4,0,10,92,7,0,7,50,179,28,"16650",0,3,7,0,0,142,0,159,17,10,55,0,3,35,10,157,6,43,10,3,4,11,57,19,7,109,17,8,10,35,10,28,107,94,0,12,0,3,0,3,10,16,3,439,3,32,10,0,4,150,98,6,27,13,9,890,13,10,83,17,3,39,142,0,0,0,1559,57,9,0,6,23,0,125,10,293,1396,86,4,0,73,0,14,9,0,48,28,125,9,0,0,257,138,6,10,3,15,7,87,36,21,0,54,0,385,192,17,28,506,36,6,0,0,72,0,0,9,0,0,3,0,11,3,0,44,32,28,0,6,10,3,3,2176,159,0,9,0,84,49,52,4,0,14,6,0,5,33,"Rockdale (C)",56,20,0,19,0,0,15,22,44,24,4,93,7,352,9,15,801,42,11,145,0,16,10,0,12,9
13,127,87,0,444,8,3,0,18,222,306,0,3,10,11,293,837,3,6,0,84,0,7,8,59,156,58,"16700",8,3,13,14,0,283,21,89,66,24,61,0,7,72,11,242,4,94,11,0,0,5,4,31,8,251,28,22,13,7,17,80,171,181,0,16,0,3,3,18,14,16,6,65,3,9,17,8,8,118,79,7,49,22,14,748,29,32,147,15,3,52,2138,0,0,4,201,57,14,5,7,22,0,217,0,664,392,90,3,0,72,9,25,10,0,71,42,101,28,9,0,73,136,130,8,6,22,98,111,70,6,0,54,10,77,195,17,6,41,84,13,0,9,111,41,0,11,0,0,3,0,29,3,0,3,20,38,0,6,29,3,5,252,210,0,24,0,1043,84,102,3,0,4,3,3,29,51,"Ryde (C)",26,31,0,36,10,0,290,20,38,18,21,50,6,251,4,15,858,33,24,63,0,13,12,4,29,5
0,43,5,0,33,3,0,0,0,0,111,0,6,0,0,3,222,0,0,0,10,0,3,0,29,60,18,"16900",0,0,8,0,0,8,0,3,3,0,3,0,0,0,0,18,0,0,3,0,0,0,0,63,0,10,0,0,26,0,4,3,258,14,0,60,0,0,3,0,3,20,9,3,0,38,0,0,4,38,29,0,4,3,0,303,11,6,11,0,0,7,20,0,0,3,0,5,0,0,3,12,0,62,4,21,24,8,13,0,3,0,7,0,0,119,0,15,0,0,0,12,58,0,0,3,50,3,22,35,3,0,0,0,0,64,0,0,0,3,15,0,0,50,0,0,0,0,0,0,4,9,0,0,0,18,74,0,16,0,6,0,0,47,0,12,0,9,6,3,3,0,6,0,0,0,15,"Shellharbour (C)",65,3,0,15,0,0,5,3,5,3,3,8,0,108,4,0,68,31,32,130,0,12,6,0,0,5
6,17,3,0,37,0,0,0,0,0,104,0,25,0,0,4,193,0,0,0,16,0,8,3,131,107,32,"16950",3,3,14,0,0,7,0,4,3,7,0,0,0,3,0,12,3,8,3,0,0,12,0,87,11,23,3,0,52,0,7,3,257,12,0,89,0,0,3,3,10,5,3,5,0,27,3,0,10,44,37,0,0,50,0,598,3,0,9,0,0,8,28,0,0,0,21,24,0,0,3,10,4,70,3,31,30,3,7,0,16,0,11,0,0,200,0,4,0,0,0,3,113,0,0,0,24,5,9,12,3,0,0,0,11,80,3,0,0,10,17,0,0,31,3,0,5,0,0,12,0,29,0,3,3,33,57,0,35,3,3,3,21,53,0,14,0,18,13,6,5,0,6,0,0,0,19,"Shoalhaven (C)",51,0,0,17,0,0,7,0,22,0,14,6,0,129,5,0,79,42,50,127,0,19,6,0,0,4
0,20,0,0,19,0,0,0,0,0,57,0,0,0,0,0,9,0,3,0,7,0,0,0,21,67,15,"17000",0,0,0,0,0,6,0,0,3,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,19,0,0,11,0,0,0,0,3,0,6,0,0,0,0,0,0,3,18,3,0,11,0,205,12,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,9,0,0,0,0,31,0,3,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,13,0,5,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,12,"Singleton (A)",5,0,0,7,0,0,5,0,18,0,0,0,0,46,0,0,47,3,3,4,0,10,6,0,0,0
3,3,6,0,3,0,0,0,0,0,26,0,6,0,0,0,45,0,0,0,0,0,0,0,20,35,5,"17040",0,0,4,0,0,3,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,18,0,3,0,0,10,0,0,0,44,3,0,16,0,0,0,0,0,0,4,0,0,0,0,0,0,11,6,0,0,6,0,133,3,0,4,0,0,0,10,0,0,0,0,0,0,0,3,6,0,14,0,6,12,0,5,0,3,0,0,0,0,38,0,4,0,0,0,3,25,0,0,0,6,0,4,3,0,0,0,0,0,14,0,0,0,0,5,0,0,6,0,0,3,0,0,3,0,3,0,0,0,0,5,0,5,0,0,0,0,13,0,0,0,4,0,0,0,0,0,0,0,0,3,"Snowy Monaro Regional (A)",0,0,0,4,0,0,0,0,4,0,0,4,0,43,0,0,13,9,7,4,0,7,4,0,0,0
0,17,0,0,9,0,0,0,0,0,46,0,3,0,0,0,9,0,0,0,0,0,0,0,14,23,0,"17080",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,3,0,0,4,0,0,0,15,0,0,10,0,0,0,0,0,0,9,4,0,0,0,0,0,7,9,0,0,0,0,103,6,0,4,0,0,3,4,0,0,0,0,0,0,0,0,0,0,5,0,6,3,0,7,0,0,0,4,0,0,26,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,12,"Snowy Valleys (A)",0,0,0,3,0,0,0,0,5,0,0,0,0,37,0,0,15,6,0,0,0,0,0,0,0,0
15,365,46,0,335,5,3,0,3,139,1224,0,11,7,14,251,615,0,12,3,87,0,17,3,109,242,63,"17420",3,13,8,3,0,220,5,74,55,39,10,0,8,146,22,340,7,153,9,0,0,12,13,62,0,278,42,39,29,0,12,78,301,63,0,55,5,21,0,12,24,27,138,83,4,42,7,0,19,184,168,3,122,33,11,1172,185,13,143,5,0,52,1174,3,0,11,46,82,14,3,32,53,0,199,11,774,402,216,14,3,88,4,68,32,0,196,34,199,20,18,0,85,195,65,23,3,61,125,50,58,13,0,24,9,119,303,7,0,3,104,22,0,3,130,31,0,18,0,0,9,3,73,3,3,15,50,66,0,35,31,11,31,72,117,0,43,0,411,46,67,16,3,20,14,3,54,258,"The Hills Shire (A)",86,35,0,174,6,0,134,29,101,60,19,46,0,318,10,47,1035,74,34,227,0,40,23,4,21,9
8,47,11,0,36,0,0,0,7,3,154,0,10,0,5,0,120,0,0,0,21,0,15,5,191,196,56,"17550",0,3,28,0,0,6,0,4,0,12,34,0,3,4,0,16,0,10,4,0,0,8,0,73,30,28,6,0,45,0,3,3,258,56,0,55,3,0,3,4,8,8,9,0,0,10,0,0,10,33,58,3,3,112,0,1195,13,8,7,0,0,20,23,0,0,0,10,18,0,0,9,9,4,41,0,34,6,3,14,0,19,0,8,3,0,160,0,16,4,0,0,3,224,0,3,4,34,3,13,12,5,0,0,3,0,99,3,0,3,13,16,0,0,22,0,3,6,0,0,4,6,22,3,0,0,13,36,0,28,0,3,0,13,31,4,11,0,7,26,4,7,0,0,3,0,4,27,"Tweed (A)",17,0,0,26,0,0,5,0,57,0,23,5,0,322,17,0,106,52,67,37,0,20,19,0,0,3
0,5,0,0,27,0,0,0,0,0,24,0,0,0,0,0,7,0,0,0,16,0,0,0,21,18,3,"17620",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,20,3,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9,0,0,6,0,88,0,0,4,0,0,3,5,0,0,0,0,0,0,0,5,3,0,5,0,0,3,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,3,38,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,3,0,9,0,3,3,0,0,0,0,3,0,0,5,"Upper Hunter Shire (A)",0,0,0,0,0,0,0,0,3,0,3,0,0,23,0,0,33,3,0,4,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,9,5,3,"17640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Upper Lachlan Shire (A)",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,3,0,3,0,0,3,0,0,0
0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,6,0,0,0,0,0,0,0,4,5,5,"17650",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,7,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Uralla (A)",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
3,35,0,0,136,0,0,0,0,0,119,0,4,0,3,0,28,0,0,3,7,0,3,0,27,53,14,"17750",4,13,3,3,0,21,0,0,0,3,3,0,3,4,0,51,0,3,0,0,0,0,0,14,3,7,0,9,6,7,3,79,63,9,0,19,0,0,0,0,3,0,12,0,0,0,0,0,0,13,27,3,3,4,6,237,22,0,26,0,0,6,21,0,0,0,26,3,0,0,10,12,0,12,0,46,3,3,7,0,20,0,0,0,0,55,3,10,3,3,0,0,35,0,0,0,18,4,4,0,0,3,0,0,0,31,0,0,3,4,3,0,0,6,0,0,5,7,0,0,0,9,0,0,3,0,10,0,10,0,0,8,40,6,0,3,0,13,34,0,4,0,0,0,0,0,19,"Wagga Wagga (C)",0,0,3,13,0,0,0,3,18,5,8,3,12,64,7,3,205,14,6,3,0,6,3,0,50,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,"17850",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Walcha (A)",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,"17900",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,27,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"Walgett (A)",0,0,0,0,0,0,0,0,3,0,0,0,0,8,3,0,4,6,0,0,0,0,0,0,0,0
0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,"17950",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Warren (A)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,12,0,0,"18020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,11,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,3,"Warrumbungle Shire (A)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
0,503,279,0,91,33,0,0,8,7,1377,0,6,11,8,3,443,0,0,0,414,0,58,6,39,177,24,"18050",0,7,3,3,3,20,0,6,3,7,41,0,0,4,3,13,0,11,0,0,0,3,0,19,5,95,19,0,9,0,0,5,192,90,0,6,0,0,24,0,9,24,27,13,0,4,4,4,6,135,35,0,4,23,0,883,99,12,9,0,0,46,56,0,0,5,25,13,0,0,6,86,0,28,3,51,40,14,3,0,9,0,23,14,0,86,0,19,11,0,0,3,100,0,3,0,29,9,18,29,34,0,8,3,8,522,25,0,4,13,8,0,0,17,3,0,42,0,0,10,0,122,3,3,0,8,29,0,11,0,0,0,29,35,0,19,0,32,15,22,4,0,0,16,0,14,299,"Waverley (A)",15,5,0,233,0,0,5,0,18,3,12,53,0,479,0,5,147,50,13,31,0,14,13,0,0,3
0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,"18100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Weddin (A)",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0
